09:21:34.899 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Connection to node -2 (/15.164.111.153:9092) could not be established. Broker may not be available.
09:21:34.899 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Bootstrap broker 15.164.111.153:9092 (id: -2 rack: null) disconnected
09:30:24.526 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드 분석 애플리케이션 시작
09:30:24.529 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - Kafka 서버: 13.209.157.53:9092,15.164.111.153:9092,3.34.32.69:9092
09:30:24.531 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 소스 토픽: test-topic
09:30:24.531 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 매출 싱크 토픽: sales_minute-minute
09:30:24.531 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 베스트 스토어 싱크 토픽: sales_minute-best-store
09:30:25.085 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Property [transaction.timeout.ms] not specified. Setting it to 3600000 ms
09:30:25.087 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Overwriting the 'key.serializer' is not recommended
09:30:25.087 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Overwriting the 'value.serializer' is not recommended
09:30:26.304 [flink-pekko.actor.default-dispatcher-5] INFO  o.a.pekko.event.slf4j.Slf4jLogger - Slf4jLogger started
09:30:26.479 [flink-metrics-6] INFO  o.a.pekko.event.slf4j.Slf4jLogger - Slf4jLogger started
09:30:26.603 [main] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
09:30:27.177 [main] WARN  o.a.f.r.webmonitor.WebMonitorUtils - Log file environment variable 'log.file' is not set.
09:30:27.178 [main] WARN  o.a.f.r.webmonitor.WebMonitorUtils - JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'web.log.path'.
09:30:27.524 [flink-pekko.actor.default-dispatcher-5] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
09:30:27.525 [flink-pekko.actor.default-dispatcher-5] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - Tokens update task not started because either no tokens obtained or none of the tokens specified its renewal date
09:30:27.764 [jobmanager-io-thread-1] INFO  o.a.f.r.c.CheckpointCoordinator - No checkpoint found during restore.
09:53:10.112 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드 분석 애플리케이션 시작
09:53:10.112 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - Kafka 서버: 13.209.157.53:9092,15.164.111.153:9092,3.34.32.69:9092
09:53:10.112 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 소스 토픽: test-topic
09:53:10.112 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 매출 싱크 토픽: sales_minute-minute
